ID,lat,lon,Address
SUM00062805,11.786,34.337,"مطار الدمازين, Ad Damazin Kurmuk Road, الدمازين, ولاية النيل الأزرق, السودان"
SF003231440,28.4,24.08,"الوادي الجديد, مصر"
SF001816040,30.57,29.85,"الجيزة, مصر"
MI000067689,14.317,34.267,"الدندر, سنار, السودان"
MR000001498,16.63,-11.4,"Bié, Angola"
CF000004452,-2.62,16.22,"Cercle Gourma-Rharous, Tombouctou, Mali"
SF004371000,26.667,27.1,"الوادي الجديد, مصر"
SF000406530,33.4,18.38,"أبو حمد, نهر النيل, السودان"
SF002405640,29.78,30.77,"3, الإسكندرية, 23716, مصر"
SF001830050,30.58,30.52,"البحيرة, مصر"
SF005133820,25.87,28.22,"مطروح, مصر"
SF000216550,33.93,18.87,"سنكات, البحر الأحمر, السودان"
WA003505420,27.53,19.82,"الولاية الشمالية, السودان"
UV000005522,10.33,-3.18,"Nyanga, Gabon"
SF002030430,30.22,26.53,"الوادي الجديد, مصر"
SF001432580,31.3,24.15,"الوادي الجديد, مصر"
SF005941410,24.85,30.58,"البطنان, ليبيا"
SF005178160,25.6,30.48,"مطروح, مصر"
WA008698420,21.03,15.48,"Wadi Fira وادي فيرا, Tchad تشاد"
AGE00147718,34.85,5.72,"Kapoeta East, Eastern Equatoria, South Sudan جنوب السودان"
ZA000067561,13.0,28.65,"وادي الشاطئ, ليبيا"
WA010117880,19.63,18.95,"Ennedi Ouest إنيدي الغربية, Tchad تشاد"
SF002583800,29.33,24.72,"الوادي الجديد, مصر"
SF006363080,24.13,30.18,"البطنان, ليبيا"
WA007822320,22.37,16.13,"Kaoura كاورا, Ennedi Est إنيدي الشرقية, Tchad تشاد"
GB000004507,-2.92,11.02,"Gohipoua, Koper, Ioba, Sud-Ouest, Burkina Faso"
SF005556730,25.23,30.88,"مطروح, مصر"
CGM00064206,-5.517,13.583,"Mariniazogoré, Cercle de Ségou, Ségou, Mali"
WA003852330,27.38,19.13,"Mellit, ولاية شمال دارفور, السودان"
SF005126020,25.55,27.85,"مطروح, مصر"
